Stock Symbol,Beta,Dividend Yield,EPS (TTM),Ex-Dividend Date,Latest Dividend,Market Value,P/E Ratio (TTM),Percent of Float,Shares Outstanding,Short Interest,Short Interest Change,Volume
TECH,0.81,0.00%,₱0.215,13-Sep-18,₱0.250,₱1.97B,13.71,,668.51M,N/A (),,1.44M
TEL,0.67,7.62%,₱47.96,03-Apr-23,₱14.00,₱266.83B,25.16,,,N/A (),,130.19K
TFC,0.72,3.06%,₱2.78,05-Jan-21,₱1.50,₱1.72B,17.66,,,N/A (),,205.69
TFHI,0.15,,-₱49.19,,,₱16.34B,,,,N/A (),,899.08
TUGS,0.66,,₱-0.002,,,₱867.75M,,,,N/A (),,541.85K
UBP,0.19,2.48%,₱5.96,10-Feb-23,₱2.00,₱188.3B,13.51,,2.35B,N/A (),,864.92K
UNI,0.38,,,,,₱391.03M,,,,N/A (),,
UPM,0.24,,₱0.000,,,₱1.33B,,,,N/A (),,3.95M
UPSON,-0.31,,,,,,,,3.29B,N/A (),,2.09M
URC,0.86,0.99%,₱6.38,16-Aug-21,₱1.80,₱334.42B,23.76,,2.18B,N/A (),,846.3K
